subject_name,absolute_course_url,course_name
Computer Science,https://www.class-central.com/course/coursera-machine-learning-835,Machine Learning
Computer Science,https://www.class-central.com/course/edx-introduction-to-computer-science-and-programming-using-python-1341,Introduction to Computer Science and Programming Using Python
Computer Science,https://www.class-central.com/course/udacity-intro-to-computer-science-320,Intro to Computer Science
Computer Science,https://www.class-central.com/course/edx-cs50-s-introduction-to-computer-science-442,CS50's Introduction to Computer Science
Computer Science,https://www.class-central.com/course/coursera-functional-programming-principles-in-scala-422,Functional Programming Principles in Scala
Computer Science,https://www.class-central.com/course/kadenze-machine-learning-for-musicians-and-artists-3768,Machine Learning for Musicians and Artists
Computer Science,https://www.class-central.com/course/coursera-algorithms-part-i-339,"Algorithms, Part I"
Computer Science,https://www.class-central.com/course/coursera-cryptography-i-616,Cryptography I
Computer Science,https://www.class-central.com/course/udacity-intro-to-deep-learning-5681,Intro to Deep Learning
Computer Science,https://www.class-central.com/course/udacity-how-to-use-git-and-github-2661,How to Use Git and GitHub
Computer Science,https://www.class-central.com/course/coursera-functional-program-design-in-scala-1186,Functional Program Design in Scala
Computer Science,https://www.class-central.com/course/kadenze-creative-applications-of-deep-learning-with-tensorflow-6679,Creative Applications of Deep Learning with TensorFlow
Computer Science,https://www.class-central.com/course/coursera-machine-learning-foundations-a-case-study-approach-4352,Machine Learning Foundations: A Case Study Approach
Computer Science,https://www.class-central.com/course/edx-introduction-to-linux-1857,Introduction to Linux
Computer Science,https://www.class-central.com/course/coursera-internet-history-technology-and-security-335,"Internet History, Technology, and Security"
Computer Science,https://www.class-central.com/course/coursera-principles-of-computing-part-1-1724,Principles of Computing (Part 1)
Computer Science,https://www.class-central.com/course/coursera-software-security-1728,Software Security 
Computer Science,https://www.class-central.com/course/edx-cs188-1x-artificial-intelligence-445,CS188.1x: Artificial Intelligence
Computer Science,https://www.class-central.com/course/coursera-practical-machine-learning-1719,Practical Machine Learning
Computer Science,https://www.class-central.com/course/coursera-build-a-modern-computer-from-first-principles-from-nand-to-tetris-project-centered-course-3234,Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course)
Computer Science,https://www.class-central.com/course/coursera-cloud-computing-concepts-part-1-2717,"Cloud Computing Concepts, Part 1"
Computer Science,https://www.class-central.com/course/coursera-neural-networks-for-machine-learning-398,Neural Networks for Machine Learning
Computer Science,https://www.class-central.com/course/coursera-algorithmic-toolbox-5471,Algorithmic Toolbox
Computer Science,https://www.class-central.com/course/udacity-introduction-to-artificial-intelligence-301,Introduction to Artificial Intelligence
Computer Science,https://www.class-central.com/course/coursera-machine-learning-regression-4289,Machine Learning: Regression
Computer Science,https://www.class-central.com/course/coursera-probabilistic-graphical-models-1-representation-309,Probabilistic Graphical Models 1: Representation
